Hst Nr.,Hst Name,Ort,Gkz,Orts ID,Gültigkeit,Steig,Bereich Nr.,Steigname,RBL Nr.,Kurzbezeichnung,Globale ID,X-Koordinate (STVH),Y-Koordinate (STVH),Georeferenz (STVH),Straßenname,Format,Vitrine,Buchsatz,Aushangfahrplan,ZOB,EFA,DFI Zieltext (Anzeigepriorität),Fußgänger,Radfahrer,Motor. Straßenverkehr,Bevorrechtigter IV (Busse),Eisenbahn,Straßenbahn,U-Bahn,Schiff,X,Y
2748,Pessl,In der Weiz/St Kath.,46017045,13,28.02.1994 - 24.12.2500,pass,0,pass,2,,at:46:2748:0:1,691739,760464,2009020360,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.561969,47.292226
2748,Pessl,In der Weiz/St Kath.,46017045,13,28.02.1994 - 24.12.2500,weiz,0,weiz,1,,at:46:2748:0:2,691725,760481,2009020360,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.561786,47.292072
2749,Schmied,In der Weiz/St Kath.,46017045,13,28.02.1994 - 24.12.2500,tei,0,tei,1,,at:46:2749:0:1,691821,758559,7961,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.562803,47.309367
2749,Schmied,In der Weiz/St Kath.,46017045,13,28.02.1994 - 24.12.2500,weiz,0,weiz,2,,at:46:2749:0:2,691808,758551,7961,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.562630,47.309438
2750,Niesenbacher,In der Weiz/St Kath.,46017045,13,28.02.1994 - 24.12.2500,tei,0,tei,1,,at:46:2750:0:1,691523,759004,2009020355,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.558921,47.305338
2750,Niesenbacher,In der Weiz/St Kath.,46017045,13,28.02.1994 - 24.12.2500,weiz,0,weiz,2,,at:46:2750:0:2,691510,759007,2009020355,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.558749,47.305310
2751,Lambachbrücke,Oberlambach,46017045,20,28.02.1994 - 24.12.2500,tei,0,tei,1,,at:46:2751:0:1,692412,759632,8134,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.570757,47.299769
2751,Lambachbrücke,Oberlambach,46017045,20,28.02.1994 - 24.12.2500,weiz,0,weiz,2,,at:46:2751:0:2,692435,759627,8134,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.571061,47.299816
2752,Ort,St Kathrein/Offenegg,46017045,25,28.02.1994 - 24.12.2500,tei,0,tei,1,,at:46:2752:0:1,692837,759474,2009025732,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.576356,47.301227
2752,Ort,St Kathrein/Offenegg,46017045,25,28.02.1994 - 24.12.2500,weiz,0,weiz,2,,at:46:2752:0:2,692828,759488,2009025732,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.576239,47.301101
2753,Unterhollerbach,St Kathrein/Offenegg,46017045,25,28.02.1994 - 24.12.2500,tei,0,tei,1,,at:46:2753:0:1,692708,758065,2009020346,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.574468,47.313888
2753,Unterhollerbach,St Kathrein/Offenegg,46017045,25,28.02.1994 - 24.12.2500,weiz,0,weiz,2,,at:46:2753:0:2,692727,758039,2009020346,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.574716,47.314124
2754,Ort,Granitz,46017045,6,28.02.1994 - 24.12.2500,tei,0,tei,1,,at:46:2754:0:1,693197,756196,2009020339,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.580695,47.330741
2754,Ort,Granitz,46017045,6,28.02.1994 - 24.12.2500,weiz,0,weiz,2,,at:46:2754:0:2,693173,756191,2009020339,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.580377,47.330783
2755,Wegbauerkreuz,Granitz,46017045,6,28.02.1994 - 24.12.2500,tei,0,tei,1,,at:46:2755:0:1,692980,756566,2009020341,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.577872,47.327394
2755,Wegbauerkreuz,Granitz,46017045,6,28.02.1994 - 24.12.2500,weiz,0,weiz,2,,at:46:2755:0:2,692969,756545,2009020341,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.577724,47.327582
2756,Hadersbergbrücke,Granitz,46017045,6,28.02.1994 - 24.12.2500,tei,0,tei,1,,at:46:2756:0:1,693862,755584,2009020334,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.589415,47.336302
2756,Hadersbergbrücke,Granitz,46017045,6,28.02.1994 - 24.12.2500,weiz,0,weiz,2,,at:46:2756:0:2,693838,755561,2009020334,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.589094,47.336507
2757,Ort,Brandlucken,46017045,1,28.02.1994 - 24.12.2500,tei,0,tei,1,,at:46:2757:0:1,694754,755688,2009020320,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.601229,47.335443
2757,Ort,Brandlucken,46017045,1,28.02.1994 - 24.12.2500,weiz,0,weiz,2,,at:46:2757:0:2,694754,755698,2009020320,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.601231,47.335353
